,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
4423,바지,데님 팬츠,릴렉스 와이드 데님 팬츠 [인디고],D23FDM101,0,0,2,1.0,"('19~23세', 0)",3900.0,1347,69000.0,0,4.0,4.8,50,150.0
4424,바지,트레이닝/조거 팬츠,G CLASSIC WAFFLE PANTS (ASH),GY23CLBPT003AS,0,0,1,1.0,"('19~23세', 0)",900.0,246,86400.0,20,5.0,4.5,4,50.0
4425,바지,데님 팬츠,One Washed Comfort Denim (Tapered) (Mid Blue),PCD0MDN303MB,1,0,2,0.0,"('29~33세', 0)",1900.0,200,195000.0,0,3.0,4.9,25,50.0
4426,바지,데님 팬츠,5PK PIER SELVEDGE REGULAR DENIM [ONE WASH],UNION-PT10OW,0,0,0,0.0,"('29~33세', 0)",1200.0,226,188000.0,5,3.0,5.0,128,100.0
4427,바지,코튼 팬츠,Off White / Semi Wide,FPQSDDW609M,1,0,0,0.0,"('29~33세', 0)",3200.0,1258,78000.0,15,4.0,4.9,182,350.0
4428,바지,데님 팬츠,오가닉 블루 진,oraganicbluejeans,0,0,1,,"('24~28세', 0)",600.0,2001,130000.0,0,5.0,4.7,13,
4429,바지,코튼 팬츠,"ODBC 코튼 카펜더 팬츠 블랙 [속기모, 겉피치]",OAECPT08BK,0,0,0,0.0,"('40세~', 0)",2400.0,221,51000.0,40,4.0,4.9,16,50.0
4430,바지,데님 팬츠,505 Kaihara denim Jeans (Mid Blue),3185202,0,0,0,0.0,"('24~28세', 0)",800.0,591,104250.0,25,4.0,4.9,85,100.0
4431,바지,기타 바지,Wrap Double-layered Pants [Black],TMB234PT801_70,1,0,1,1.0,"('24~28세', 0)",1200.0,512,239000.0,0,4.0,4.7,7,50.0
4432,바지,데님 팬츠,[원단 선택 가능] 카펜터 와이드 데님 (LAW BLACK),atm23fb005bk,1,0,0,0.0,"('19~23세', '24~28세')",1100.0,1187,44000.0,55,4.0,4.7,87,250.0
