,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy,score,buy_age1,buy_age2
2585,바지,트레이닝/조거 팬츠,[기모선택가능]세미와이드 이지 트레이닝 스웨트팬츠(블랙),2023PWFW02,1,0,0,0.0,"('40세~', 0)",4200.0,3965,39000.0,40,5.0,4.8,1587,1700.0,0.9659090909090908,6,0
2586,스포츠/용품,하의,에어스트레치 릴랙스팬츠_블랙 트레이닝,P00000LE,1,0,2,0.0,"('24~28세', 0)",1800.0,1173,39000.0,35,5.0,4.8,229,1000.0,1.0,3,0
2587,바지,트레이닝/조거 팬츠,피그먼트 다잉 원턱 스웻팬츠 [딥차콜],HVS_23FW_PT01CC,0,0,0,0.0,"('24~28세', 0)",2900.0,898,59800.0,33,6.0,4.9,39,200.0,0.96,3,0
2588,바지,데님 팬츠,Sprayed Denim Pants (Black),AK23PT06BK,0,0,0,0.0,"('19~23세', 0)",2000.0,2008,165600.0,14,5.0,5.0,84,150.0,0.9743589743589745,2,0
2589,바지,트레이닝/조거 팬츠,와이드 벌룬 코듀로이 팬츠 (크림),CLACO-PT53,0,0,0,0.0,"('19~23세', 0)",4600.0,1984,59000.0,34,5.0,4.8,224,500.0,0.9743589743589745,2,0
2590,바지,숏 팬츠,버나드 7907 넌페이드 카펜터 릴렉스핏 그린캐스트 쇼츠팬츠,MBN_7907_41_23B,0,0,2,1.0,"('24~28세', 0)",1800.0,1227,68400.0,10,5.0,4.8,60,250.0,1.0,3,0
2591,바지,코튼 팬츠,베이커 팬츠 올리브 ( Japanese Fabric ),2,0,1,2,0.0,"('29~33세', 0)",2800.0,284,79500.0,50,5.0,5.0,29,50.0,1.0,4,0
2592,바지,데님 팬츠,Destroyed Denim Pants Brushed Indigo,SC23A451BL,1,0,2,1.0,"('19~23세', 0)",7900.0,4948,99800.0,37,6.0,4.9,153,500.0,0.9761904761904762,2,0
2593,바지,기타 바지,플로우 라인 레더 팬츠 맨 (블랙),SM22SIPT01BK,0,0,0,0.0,"('19~23세', '24~28세')",2300.0,2546,65000.0,40,6.0,4.9,348,450.0,0.9883720930232558,2,0
2594,바지,숏 팬츠,카펜터 버뮤다 스웨트 8부 팬츠 블랙,CARPENTER BERMUDA SWEAT SHORT BLACK,0,0,0,0.0,"('24~28세', '29~33세')",1500.0,563,48300.0,30,6.0,5.0,35,150.0,1.0,3,0
2595,스포츠/용품,하의,에어스트레치 쇼츠_블랙 트레이닝,P00000KQ,1,0,2,0.0,"('24~28세', 0)",4000.0,3883,34000.0,35,5.0,4.9,956,5600.0,1.0,3,0
2596,바지,코튼 팬츠,FATIGUE PANTS OLIVE,NC2300PT01OL,1,0,2,0.0,"('24~28세', 0)",950.0,434,127200.0,20,5.0,4.8,41,50.0,0.9642857142857144,3,0
2597,바지,코튼 팬츠,스트레이트 핏 코듀로이 팬츠_아이보리,스트레이트 핏 코듀로이 팬츠_아이보리,0,0,0,0.0,"('29~33세', 0)",1000.0,109,53100.0,10,5.0,4.7,10,50.0,1.0,4,0
2598,바지,코튼 팬츠,와이드 원 턱 치노 팬츠 [베이지],MACPC102-BE,0,1,0,0.0,"('24~28세', 0)",1800.0,754,34890.0,30,5.0,4.9,77,300.0,1.0,3,0
2599,바지,숏 팬츠,우븐스판 쇼츠(네이비),NSP7053NAZ,1,0,0,0.0,"('24~28세', 0)",300.0,293,40500.0,10,6.0,4.9,69,200.0,1.0,3,0
2600,바지,데님 팬츠,리플렉트 커브드 팬츠 [오프 화이트],ML163,0,0,2,0.0,"('19~23세', 0)",2600.0,1658,69000.0,22,5.0,4.9,147,400.0,0.9879518072289156,2,0
2601,스포츠/용품,하의,[2PACK]남여공용 UP텐션 조거팬츠,14001048,0,0,2,0.0,"('29~33세', 0)",1700.0,1023,69000.0,50,5.0,4.8,240,700.0,0.9871794871794872,4,0
2602,바지,기타 바지,KAI 2WAY WIND PANTS (ASH BEIGE),23B0023AB,0,0,1,1.0,"('19~23세', 0)",500.0,945,196200.0,10,5.0,4.5,4,50.0,1.0,2,0
2603,바지,슈트 팬츠/슬랙스,V103 더블 핀턱 와이드 슬랙스 (차콜),V103,0,0,0,0.0,"('19~23세', 0)",2300.0,8184,47000.0,30,5.0,4.8,811,1200.0,0.9666666666666668,2,0
2604,바지,데님 팬츠,93 MID-RISE LOOSE FIT JEANS (BLACK),23B0002,0,0,1,1.0,"('24~28세', 0)",1800.0,426,128000.0,0,28.0,4.8,32,50.0,0.967391304347826,3,0
2605,바지,트레이닝/조거 팬츠,MILLION Ribbon 와이드 팬츠,B1 - Black,0,0,1,1.0,"('19~23세', 0)",2000.0,1566,49000.0,17,6.0,4.5,6,50.0,0.9390243902439024,2,0
2606,바지,데님 팬츠,Bootcut 01 - Black,BBFWDFPT05BK,0,0,1,1.0,"('19~23세', 0)",2100.0,1972,118000.0,0,5.0,4.8,181,300.0,0.9125,2,0
2607,바지,기타 바지,리플렉트 커브드 울 팬츠 [브라운],ML243,0,0,0,0.0,"('19~23세', '24~28세')",2500.0,310,89600.0,30,5.0,5.0,4,50.0,1.0,2,0
2608,스포츠/용품,하의,23 데코이 팬츠 GRAY,23PT5GR,0,0,0,0.0,"('29~33세', 0)",1000.0,80,208800.0,10,5.0,5.0,5,50.0,1.0,4,0
